Issue Key,Summary,Status,Worklog Comment,Author,Time Spent,Worklog Created,Data Extracted Time
TEST-1,order corn,In Progress,No comment provided.,Verdict Zero,2w 1d,2023-09-26T14:30:00.000-0400,2023-09-27T13:57:48.303215
TEST-1,order corn,In Progress,assembled Ikea furniture,Verdict Zero,5w 1d 3h,2023-09-26T14:30:00.000-0400,2023-09-27T13:57:48.303215
TEST-1,order corn,In Progress,pants,Verdict Zero,2w 1d,2023-09-26T14:30:00.000-0400,2023-09-27T13:57:48.303215
TEST-2,Katie is scary,To Do,Katie is still scary,Verdict Zero,1w,2023-09-24T22:11:59.503-0400,2023-09-27T13:57:48.459598
TEST-2,Katie is scary,To Do,No comment provided.,Verdict Zero,1w 3d,2023-09-24T21:49:21.665-0400,2023-09-27T13:57:48.459598
TEST-2,Katie is scary,To Do,🪸,Verdict Zero,1w 1d 6h,2023-09-25T07:49:32.923-0400,2023-09-27T13:57:48.459598
TEST-2,Katie is scary,To Do,yogurt exists,Verdict Zero,199w 4d,2022-10-29T13:49:51.313-0400,2023-09-27T13:57:48.459598
TEST-2,Katie is scary,To Do,CHICKEN FRANCHISE,Verdict Zero,1d 6h 53m,2023-09-26T22:57:29.899-0400,2023-09-27T13:57:48.459598
TEST-3,wear pants,To Do,potato salad,Verdict Zero,57w 3d,2023-09-26T15:03:00.000-0400,2023-09-27T13:57:48.615882
TEST-4,recalibrate inertial dampers,Done,No work records found.,,,,2023-09-27T13:57:48.772141
TEST-5,Build retaining wall,To Do,failed to build retaining wall,Verdict Zero,52w 1d,2023-09-26T15:19:00.000-0400,2023-09-27T13:57:49.022037
TEST-6,another test ticket,To Do,No work records found.,,,,2023-09-27T13:57:49.225618
