Issue Key,Summary,Status,Worklog Comment,Author,Time Spent,Worklog Created,Data Extracted Time
TEST-107,yex,To Do,No comment provided.,Verdict Zero,1d,2023-09-26T08:26:54.193-0400,2023-12-21T18:58:57.454600
TEST-107,yex,To Do,TEST,Test McUserface,1w 1d,2023-09-28T13:18:00.000-0400,2023-12-21T18:58:57.454600
TEST-107,yex,To Do,TEST,Test McUserface,7w 1d,2023-09-28T13:19:00.000-0400,2023-12-21T18:58:57.454600
TEST-108,claptrap brouhaha claptrap,To Do,No comment provided.,Verdict Zero,1h,2023-09-27T08:26:54.786-0400,2023-12-21T18:58:57.561708
TEST-109,mumpsimus quockerwodger fustilugs jentacular slubberdegullion pandiculation,To Do,No comment provided.,Verdict Zero,1d,2023-09-20T08:26:55.290-0400,2023-12-21T18:58:57.661072
TEST-110,xenodocheionology absquatulate yex,To Do,No work records found.,,,,2023-12-21T18:58:57.791164
TEST-111,ventriloquize absquatulate brouhaha quixotic eucatastrophe clews,To Do,No work records found.,,,,2023-12-21T18:58:57.954993
TEST-112,floccinaucinihilipilification obambulate pogonotrophy doodle-sack farrago fustilugs,To Do,No work records found.,,,,2023-12-21T18:58:58.056874
TEST-113,widdershins eucatastrophe zymurgy zoanthropy,To Do,No work records found.,,,,2023-12-21T18:58:58.178026
TEST-114,whippersnapper zymurgy omphaloskepsis limerence lucubrate,To Do,No comment provided.,Verdict Zero,5h,2023-09-16T08:26:54.491-0400,2023-12-21T18:58:58.294851
TEST-115,jentacular ventriloquize taradiddle jentacular mumpsimus mugwump,To Do,No comment provided.,Verdict Zero,3h,2023-09-26T08:26:55.889-0400,2023-12-21T18:58:58.391914
TEST-116,clews widdershins jentacular,To Do,No work records found.,,,,2023-12-21T18:58:58.484311
TEST-117,snickersnee snickersnee rumbustious mumpsimus brouhaha rumbustious,To Do,No work records found.,,,,2023-12-21T18:58:58.590719
TEST-118,yaffle xenodocheionology,To Do,No work records found.,,,,2023-12-21T18:58:58.689387
TEST-119,lollygag doodle-sack bathykolpian,To Do,No work records found.,,,,2023-12-21T18:58:58.778540
TEST-120,cachinnate cachinnate,To Do,No comment provided.,Verdict Zero,1d,2023-09-18T08:27:13.926-0400,2023-12-21T18:58:58.881411
TEST-121,limerence eschew kakorrhaphiophobia absquatulate,To Do,No work records found.,,,,2023-12-21T18:58:58.980363
TEST-122,omphaloskepsis clews,To Do,No comment provided.,Verdict Zero,5h,2023-09-14T08:27:14.265-0400,2023-12-21T18:58:59.082186
TEST-123,flibbertigibbet eucatastrophe lollygag absquatulate brouhaha,To Do,No work records found.,,,,2023-12-21T18:58:59.177852
TEST-124,throttlebottom quockerwodger xenodocheionology,To Do,No comment provided.,Verdict Zero,1d,2023-09-21T08:27:14.910-0400,2023-12-21T18:58:59.278221
TEST-125,widdershins floccinaucinihilipilification limerence widdershins taradiddle,To Do,No comment provided.,Verdict Zero,4h,2023-09-23T08:27:14.564-0400,2023-12-21T18:58:59.413964
TEST-126,ventriloquize,To Do,No comment provided.,Verdict Zero,2h,2023-09-26T08:27:15.375-0400,2023-12-21T18:58:59.556994
TEST-127,kakorrhaphiophobia mumpsimus zymurgy doodle-sack,To Do,No work records found.,,,,2023-12-21T18:58:59.650892
TEST-128,xenodocheionology whippersnapper cacoethes yaffle obambulate cacoethes,To Do,No work records found.,,,,2023-12-21T18:58:59.749386
TEST-129,obambulate pandiculation jentacular lollygag ventriloquize cachinnate,To Do,No comment provided.,Verdict Zero,1h,2023-09-16T08:27:25.733-0400,2023-12-21T18:58:59.848176
TEST-130,quixotic pogonotrophy absquatulate quixotic yaffle,To Do,No work records found.,,,,2023-12-21T18:58:59.953668
TEST-131,limerence,To Do,No work records found.,,,,2023-12-21T18:59:00.123099
TEST-132,claptrap bathykolpian doodle-sack defenestration,To Do,No work records found.,,,,2023-12-21T18:59:00.208615
TEST-133,taradiddle bibble xenodocheionology,To Do,No comment provided.,Verdict Zero,1h,2023-09-15T08:27:25.449-0400,2023-12-21T18:59:00.314058
TEST-134,claptrap lollygag cacoethes kakorrhaphiophobia eucatastrophe,To Do,No comment provided.,Verdict Zero,4h,2023-09-23T08:27:26.540-0400,2023-12-21T18:59:00.453754
TEST-135,xenodocheionology,To Do,No comment provided.,Verdict Zero,1h,2023-09-17T08:27:26.950-0400,2023-12-21T18:59:00.558906
TEST-136,xenodocheionology pogonotrophy ultracrepidarian limerence obambulate,To Do,No comment provided.,Verdict Zero,7h,2023-09-28T08:27:26.108-0400,2023-12-21T18:59:00.662443
TEST-137,susurrus gorgonize nudiustertian blatherskite,To Do,No comment provided.,Verdict Zero,3h,2023-09-26T08:27:56.428-0400,2023-12-21T18:59:00.784615
TEST-138,hobbledehoy,To Do,No work records found.,,,,2023-12-21T18:59:00.916583
TEST-139,eschew quixotic,To Do,No work records found.,,,,2023-12-21T18:59:01.030133
TEST-140,zymurgy floccinaucinihilipilification limerence,To Do,No comment provided.,Verdict Zero,5h,2023-09-19T08:27:57.190-0400,2023-12-21T18:59:01.155517
TEST-141,zymurgy mumpsimus xenodocheionology lucubrate defenestration,To Do,No work records found.,,,,2023-12-21T18:59:01.253836
TEST-142,xenodocheionology,To Do,No comment provided.,Verdict Zero,1d,2023-09-19T08:27:56.022-0400,2023-12-21T18:59:01.360616
TEST-143,cacoethes cacoethes,To Do,No work records found.,,,,2023-12-21T18:59:01.470842
TEST-144,jentacular snickersnee slubberdegullion pandiculation obambulate,To Do,No comment provided.,Verdict Zero,1h,2023-09-20T08:27:56.852-0400,2023-12-21T18:59:01.632881
TEST-145,absquatulate eschew slubberdegullion,To Do,No work records found.,,,,2023-12-21T18:59:01.726081
TEST-146,kakorrhaphiophobia susurrus mugwump taradiddle eschew,To Do,No comment provided.,Verdict Zero,4h,2023-09-28T08:27:57.582-0400,2023-12-21T18:59:01.824981
TEST-147,clews yaffle quockerwodger jentacular wabbit,To Do,No comment provided.,Verdict Zero,5h,2023-09-20T08:28:35.771-0400,2023-12-21T18:59:01.997296
TEST-148,uxorious whippersnapper farrago bibble,To Do,No comment provided.,Verdict Zero,4h,2023-09-21T08:28:36.377-0400,2023-12-21T18:59:02.122107
TEST-149,yaffle hobbledehoy gobbledygook,To Do,No work records found.,,,,2023-12-21T18:59:02.231460
TEST-150,blatherskite mugwump yex fustilugs eucatastrophe quixotic,To Do,No comment provided.,Verdict Zero,1d,2023-09-26T08:28:36.010-0400,2023-12-21T18:59:02.367379
TEST-151,obambulate farrago cachinnate,To Do,No comment provided.,Verdict Zero,1d,2023-09-14T08:28:36.646-0400,2023-12-21T18:59:02.531761
TEST-152,whippersnapper,To Do,No work records found.,,,,2023-12-21T18:59:02.684579
TEST-153,lucubrate yaffle wabbit,To Do,No comment provided.,Verdict Zero,7h,2023-09-21T08:28:35.516-0400,2023-12-21T18:59:02.791969
TEST-154,bathykolpian mugwump brouhaha,To Do,No work records found.,,,,2023-12-21T18:59:02.943839
TEST-155,omphaloskepsis quixotic lucubrate whippersnapper taradiddle,To Do,No work records found.,,,,2023-12-21T18:59:03.046129
TEST-156,ventriloquize,To Do,No work records found.,,,,2023-12-21T18:59:03.200901
TEST-157,pandiculation absquatulate,To Do,No comment provided.,Verdict Zero,4h,2023-09-23T08:28:56.095-0400,2023-12-21T18:59:03.360621
TEST-158,farrago,To Do,No comment provided.,Verdict Zero,2h,2023-09-23T08:28:56.447-0400,2023-12-21T18:59:03.521942
TEST-159,gorgonize,To Do,No comment provided.,Verdict Zero,3h,2023-09-14T08:28:55.786-0400,2023-12-21T18:59:03.622858
TEST-160,blatherskite claptrap quockerwodger quockerwodger ultracrepidarian,To Do,No work records found.,,,,2023-12-21T18:59:03.745882
TEST-161,absquatulate,To Do,No work records found.,,,,2023-12-21T18:59:03.859927
TEST-162,zymurgy pogonotrophy throttlebottom zymurgy doodle-sack yaffle,To Do,No work records found.,,,,2023-12-21T18:59:03.954916
TEST-163,absquatulate eucatastrophe,To Do,No work records found.,,,,2023-12-21T18:59:04.077044
TEST-164,slubberdegullion flibbertigibbet cachinnate kakorrhaphiophobia claptrap,To Do,No work records found.,,,,2023-12-21T18:59:04.180632
TEST-165,mumpsimus pogonotrophy omphaloskepsis pogonotrophy ultracrepidarian fustilugs,To Do,No comment provided.,Verdict Zero,1h,2023-09-17T08:28:56.816-0400,2023-12-21T18:59:04.274687
TEST-166,uxorious blatherskite,To Do,No comment provided.,Verdict Zero,5h,2023-09-18T08:28:57.074-0400,2023-12-21T18:59:04.406242
TEST-167,pogonotrophy,To Do,No comment provided.,Verdict Zero,1h,2023-09-28T09:09:55.566-0400,2023-12-21T18:59:04.502569
TEST-168,lucubrate brouhaha fustilugs mugwump taradiddle defenestration,To Do,No work records found.,,,,2023-12-21T18:59:04.611348
TEST-169,mugwump farrago quockerwodger mugwump blatherskite,To Do,No work records found.,,,,2023-12-21T18:59:04.731478
TEST-170,ventriloquize throttlebottom gallimaufry,To Do,No comment provided.,Verdict Zero,3h,2023-09-25T09:09:54.318-0400,2023-12-21T18:59:04.832080
TEST-171,lucubrate yex pandiculation,To Do,No comment provided.,Verdict Zero,2h,2023-09-15T09:09:55.289-0400,2023-12-21T18:59:04.932846
TEST-172,clews nudiustertian,To Do,No work records found.,,,,2023-12-21T18:59:05.017015
TEST-173,hobbledehoy yaffle,To Do,No comment provided.,Verdict Zero,4h,2023-09-28T09:09:54.972-0400,2023-12-21T18:59:05.138284
TEST-174,rumbustious,To Do,No comment provided.,Verdict Zero,3h,2023-09-23T09:09:54.602-0400,2023-12-21T18:59:05.250525
TEST-175,defenestration obambulate mumpsimus mugwump,To Do,No work records found.,,,,2023-12-21T18:59:05.372114
TEST-176,fustilugs kakorrhaphiophobia defenestration snickersnee defenestration,To Do,No work records found.,,,,2023-12-21T18:59:05.479436
TEST-177,slubberdegullion flibbertigibbet ventriloquize brouhaha yaffle ventriloquize,To Do,No comment provided.,Verdict Zero,5h,2023-09-28T11:19:12.400-0400,2023-12-21T18:59:05.584364
TEST-178,brouhaha limerence,To Do,No work records found.,,,,2023-12-21T18:59:05.692236
TEST-179,gobbledygook jentacular flibbertigibbet throttlebottom obambulate omphaloskepsis,To Do,No work records found.,,,,2023-12-21T18:59:05.780027
TEST-180,lollygag lucubrate jentacular mumpsimus pogonotrophy snickersnee,To Do,No comment provided.,Verdict Zero,3h,2023-09-23T11:19:11.632-0400,2023-12-21T18:59:05.949689
TEST-181,limerence nudiustertian slubberdegullion,To Do,No work records found.,,,,2023-12-21T18:59:06.048048
