Issue Key,Summary,Status,Worklog Comment,Author,Time Spent,Worklog Created,Data Extracted Time
TEST-107,yex,To Do,No comment provided.,Verdict Zero,1d,2023-09-26T08:26:54.193-0400,2023-12-21T16:06:34.616506
TEST-107,yex,To Do,TEST,Test McUserface,1w 1d,2023-09-28T13:18:00.000-0400,2023-12-21T16:06:34.616506
TEST-107,yex,To Do,TEST,Test McUserface,7w 1d,2023-09-28T13:19:00.000-0400,2023-12-21T16:06:34.616506
TEST-108,claptrap brouhaha claptrap,To Do,No comment provided.,Verdict Zero,1h,2023-09-27T08:26:54.786-0400,2023-12-21T16:06:34.724490
TEST-109,mumpsimus quockerwodger fustilugs jentacular slubberdegullion pandiculation,To Do,No comment provided.,Verdict Zero,1d,2023-09-20T08:26:55.290-0400,2023-12-21T16:06:34.828397
TEST-110,xenodocheionology absquatulate yex,To Do,No work records found.,,,,2023-12-21T16:06:34.924576
TEST-111,ventriloquize absquatulate brouhaha quixotic eucatastrophe clews,To Do,No work records found.,,,,2023-12-21T16:06:35.073265
TEST-112,floccinaucinihilipilification obambulate pogonotrophy doodle-sack farrago fustilugs,To Do,No work records found.,,,,2023-12-21T16:06:35.191946
TEST-113,widdershins eucatastrophe zymurgy zoanthropy,To Do,No work records found.,,,,2023-12-21T16:06:35.313997
TEST-114,whippersnapper zymurgy omphaloskepsis limerence lucubrate,To Do,No comment provided.,Verdict Zero,5h,2023-09-16T08:26:54.491-0400,2023-12-21T16:06:35.407557
TEST-115,jentacular ventriloquize taradiddle jentacular mumpsimus mugwump,To Do,No comment provided.,Verdict Zero,3h,2023-09-26T08:26:55.889-0400,2023-12-21T16:06:35.552094
TEST-116,clews widdershins jentacular,To Do,No work records found.,,,,2023-12-21T16:06:35.672225
TEST-117,snickersnee snickersnee rumbustious mumpsimus brouhaha rumbustious,To Do,No work records found.,,,,2023-12-21T16:06:35.769883
TEST-118,yaffle xenodocheionology,To Do,No work records found.,,,,2023-12-21T16:06:35.925444
TEST-119,lollygag doodle-sack bathykolpian,To Do,No work records found.,,,,2023-12-21T16:06:36.058969
TEST-120,cachinnate cachinnate,To Do,No comment provided.,Verdict Zero,1d,2023-09-18T08:27:13.926-0400,2023-12-21T16:06:36.157043
TEST-121,limerence eschew kakorrhaphiophobia absquatulate,To Do,No work records found.,,,,2023-12-21T16:06:36.252216
TEST-122,omphaloskepsis clews,To Do,No comment provided.,Verdict Zero,5h,2023-09-14T08:27:14.265-0400,2023-12-21T16:06:36.363013
TEST-123,flibbertigibbet eucatastrophe lollygag absquatulate brouhaha,To Do,No work records found.,,,,2023-12-21T16:06:36.524357
TEST-124,throttlebottom quockerwodger xenodocheionology,To Do,No comment provided.,Verdict Zero,1d,2023-09-21T08:27:14.910-0400,2023-12-21T16:06:36.679020
TEST-125,widdershins floccinaucinihilipilification limerence widdershins taradiddle,To Do,No comment provided.,Verdict Zero,4h,2023-09-23T08:27:14.564-0400,2023-12-21T16:06:36.824412
TEST-126,ventriloquize,To Do,No comment provided.,Verdict Zero,2h,2023-09-26T08:27:15.375-0400,2023-12-21T16:06:36.933305
TEST-127,kakorrhaphiophobia mumpsimus zymurgy doodle-sack,To Do,No work records found.,,,,2023-12-21T16:06:37.038275
TEST-128,xenodocheionology whippersnapper cacoethes yaffle obambulate cacoethes,To Do,No work records found.,,,,2023-12-21T16:06:37.187740
TEST-129,obambulate pandiculation jentacular lollygag ventriloquize cachinnate,To Do,No comment provided.,Verdict Zero,1h,2023-09-16T08:27:25.733-0400,2023-12-21T16:06:37.293157
TEST-130,quixotic pogonotrophy absquatulate quixotic yaffle,To Do,No work records found.,,,,2023-12-21T16:06:37.445746
TEST-131,limerence,To Do,No work records found.,,,,2023-12-21T16:06:37.581451
TEST-132,claptrap bathykolpian doodle-sack defenestration,To Do,No work records found.,,,,2023-12-21T16:06:37.693258
TEST-133,taradiddle bibble xenodocheionology,To Do,No comment provided.,Verdict Zero,1h,2023-09-15T08:27:25.449-0400,2023-12-21T16:06:37.808045
TEST-134,claptrap lollygag cacoethes kakorrhaphiophobia eucatastrophe,To Do,No comment provided.,Verdict Zero,4h,2023-09-23T08:27:26.540-0400,2023-12-21T16:06:37.961969
TEST-135,xenodocheionology,To Do,No comment provided.,Verdict Zero,1h,2023-09-17T08:27:26.950-0400,2023-12-21T16:06:38.051785
TEST-136,xenodocheionology pogonotrophy ultracrepidarian limerence obambulate,To Do,No comment provided.,Verdict Zero,7h,2023-09-28T08:27:26.108-0400,2023-12-21T16:06:38.205030
TEST-137,susurrus gorgonize nudiustertian blatherskite,To Do,No comment provided.,Verdict Zero,3h,2023-09-26T08:27:56.428-0400,2023-12-21T16:06:38.306021
TEST-138,hobbledehoy,To Do,No work records found.,,,,2023-12-21T16:06:38.415327
TEST-139,eschew quixotic,To Do,No work records found.,,,,2023-12-21T16:06:38.564334
TEST-140,zymurgy floccinaucinihilipilification limerence,To Do,No comment provided.,Verdict Zero,5h,2023-09-19T08:27:57.190-0400,2023-12-21T16:06:38.680467
TEST-141,zymurgy mumpsimus xenodocheionology lucubrate defenestration,To Do,No work records found.,,,,2023-12-21T16:06:38.833934
