Issue Key,Summary,Status,Worklog Comment,Author,Time Spent,Worklog Created,Data Extracted Time
TEST-107,yex,To Do,No comment provided.,Verdict Zero,1d,2023-09-26T08:26:54.193-0400,2023-10-11T14:40:07.299352
TEST-107,yex,To Do,TEST,Test McUserface,1w 1d,2023-09-28T13:18:00.000-0400,2023-10-11T14:40:07.299352
TEST-107,yex,To Do,TEST,Test McUserface,7w 1d,2023-09-28T13:19:00.000-0400,2023-10-11T14:40:07.299352
TEST-108,claptrap brouhaha claptrap,To Do,No comment provided.,Verdict Zero,1h,2023-09-27T08:26:54.786-0400,2023-10-11T14:40:07.533672
TEST-109,mumpsimus quockerwodger fustilugs jentacular slubberdegullion pandiculation,To Do,No comment provided.,Verdict Zero,1d,2023-09-20T08:26:55.290-0400,2023-10-11T14:40:07.862053
TEST-110,xenodocheionology absquatulate yex,To Do,No work records found.,,,,2023-10-11T14:40:08.158872
TEST-111,ventriloquize absquatulate brouhaha quixotic eucatastrophe clews,To Do,No work records found.,,,,2023-10-11T14:40:08.346533
TEST-112,floccinaucinihilipilification obambulate pogonotrophy doodle-sack farrago fustilugs,To Do,No work records found.,,,,2023-10-11T14:40:08.674533
TEST-113,widdershins eucatastrophe zymurgy zoanthropy,To Do,No work records found.,,,,2023-10-11T14:40:08.908855
TEST-114,whippersnapper zymurgy omphaloskepsis limerence lucubrate,To Do,No comment provided.,Verdict Zero,5h,2023-09-16T08:26:54.491-0400,2023-10-11T14:40:09.174417
TEST-115,jentacular ventriloquize taradiddle jentacular mumpsimus mugwump,To Do,No comment provided.,Verdict Zero,3h,2023-09-26T08:26:55.889-0400,2023-10-11T14:40:09.361765
TEST-116,clews widdershins jentacular,To Do,No work records found.,,,,2023-10-11T14:40:09.596232
TEST-117,snickersnee snickersnee rumbustious mumpsimus brouhaha rumbustious,To Do,No work records found.,,,,2023-10-11T14:40:09.752237
TEST-118,yaffle xenodocheionology,To Do,No work records found.,,,,2023-10-11T14:40:10.002172
TEST-119,lollygag doodle-sack bathykolpian,To Do,No work records found.,,,,2023-10-11T14:40:10.205447
TEST-120,cachinnate cachinnate,To Do,No comment provided.,Verdict Zero,1d,2023-09-18T08:27:13.926-0400,2023-10-11T14:40:10.517691
TEST-121,limerence eschew kakorrhaphiophobia absquatulate,To Do,No work records found.,,,,2023-10-11T14:40:10.814684
TEST-122,omphaloskepsis clews,To Do,No comment provided.,Verdict Zero,5h,2023-09-14T08:27:14.265-0400,2023-10-11T14:40:11.002227
TEST-123,flibbertigibbet eucatastrophe lollygag absquatulate brouhaha,To Do,No work records found.,,,,2023-10-11T14:40:11.236737
TEST-124,throttlebottom quockerwodger xenodocheionology,To Do,No comment provided.,Verdict Zero,1d,2023-09-21T08:27:14.910-0400,2023-10-11T14:40:11.533435
TEST-125,widdershins floccinaucinihilipilification limerence widdershins taradiddle,To Do,No comment provided.,Verdict Zero,4h,2023-09-23T08:27:14.564-0400,2023-10-11T14:40:11.799134
TEST-126,ventriloquize,To Do,No comment provided.,Verdict Zero,2h,2023-09-26T08:27:15.375-0400,2023-10-11T14:40:12.002158
TEST-127,kakorrhaphiophobia mumpsimus zymurgy doodle-sack,To Do,No work records found.,,,,2023-10-11T14:40:12.174042
TEST-128,xenodocheionology whippersnapper cacoethes yaffle obambulate cacoethes,To Do,No work records found.,,,,2023-10-11T14:40:12.455210
TEST-129,obambulate pandiculation jentacular lollygag ventriloquize cachinnate,To Do,No comment provided.,Verdict Zero,1h,2023-09-16T08:27:25.733-0400,2023-10-11T14:40:12.689539
TEST-130,quixotic pogonotrophy absquatulate quixotic yaffle,To Do,No work records found.,,,,2023-10-11T14:40:12.845763
TEST-131,limerence,To Do,No work records found.,,,,2023-10-11T14:40:13.173803
TEST-132,claptrap bathykolpian doodle-sack defenestration,To Do,No work records found.,,,,2023-10-11T14:40:13.376882
TEST-133,taradiddle bibble xenodocheionology,To Do,No comment provided.,Verdict Zero,1h,2023-09-15T08:27:25.449-0400,2023-10-11T14:40:13.689298
TEST-134,claptrap lollygag cacoethes kakorrhaphiophobia eucatastrophe,To Do,No comment provided.,Verdict Zero,4h,2023-09-23T08:27:26.540-0400,2023-10-11T14:40:13.923428
TEST-135,xenodocheionology,To Do,No comment provided.,Verdict Zero,1h,2023-09-17T08:27:26.950-0400,2023-10-11T14:40:14.095317
TEST-136,xenodocheionology pogonotrophy ultracrepidarian limerence obambulate,To Do,No comment provided.,Verdict Zero,7h,2023-09-28T08:27:26.108-0400,2023-10-11T14:40:14.298541
TEST-137,susurrus gorgonize nudiustertian blatherskite,To Do,No comment provided.,Verdict Zero,3h,2023-09-26T08:27:56.428-0400,2023-10-11T14:40:14.564100
TEST-138,hobbledehoy,To Do,No work records found.,,,,2023-10-11T14:40:14.814053
TEST-139,eschew quixotic,To Do,No work records found.,,,,2023-10-11T14:40:14.985685
TEST-140,zymurgy floccinaucinihilipilification limerence,To Do,No comment provided.,Verdict Zero,5h,2023-09-19T08:27:57.190-0400,2023-10-11T14:40:15.220176
TEST-141,zymurgy mumpsimus xenodocheionology lucubrate defenestration,To Do,No work records found.,,,,2023-10-11T14:40:15.472575
TEST-142,xenodocheionology,To Do,No comment provided.,Verdict Zero,1d,2023-09-19T08:27:56.022-0400,2023-10-11T14:40:15.681166
TEST-143,cacoethes cacoethes,To Do,No work records found.,,,,2023-10-11T14:40:15.940699
TEST-144,jentacular snickersnee slubberdegullion pandiculation obambulate,To Do,No comment provided.,Verdict Zero,1h,2023-09-20T08:27:56.852-0400,2023-10-11T14:40:16.096915
TEST-145,absquatulate eschew slubberdegullion,To Do,No work records found.,,,,2023-10-11T14:40:16.284182
TEST-146,kakorrhaphiophobia susurrus mugwump taradiddle eschew,To Do,No comment provided.,Verdict Zero,4h,2023-09-28T08:27:57.582-0400,2023-10-11T14:40:16.503910
TEST-147,clews yaffle quockerwodger jentacular wabbit,To Do,No comment provided.,Verdict Zero,5h,2023-09-20T08:28:35.771-0400,2023-10-11T14:40:16.675797
TEST-148,uxorious whippersnapper farrago bibble,To Do,No comment provided.,Verdict Zero,4h,2023-09-21T08:28:36.377-0400,2023-10-11T14:40:16.832019
TEST-149,yaffle hobbledehoy gobbledygook,To Do,No work records found.,,,,2023-10-11T14:40:17.066950
TEST-150,blatherskite mugwump yex fustilugs eucatastrophe quixotic,To Do,No comment provided.,Verdict Zero,1d,2023-09-26T08:28:36.010-0400,2023-10-11T14:40:17.317177
TEST-151,obambulate farrago cachinnate,To Do,No comment provided.,Verdict Zero,1d,2023-09-14T08:28:36.646-0400,2023-10-11T14:40:17.488895
TEST-152,whippersnapper,To Do,No work records found.,,,,2023-10-11T14:40:17.677106
TEST-153,lucubrate yaffle wabbit,To Do,No comment provided.,Verdict Zero,7h,2023-09-21T08:28:35.516-0400,2023-10-11T14:40:17.833279
TEST-154,bathykolpian mugwump brouhaha,To Do,No work records found.,,,,2023-10-11T14:40:18.192699
TEST-155,omphaloskepsis quixotic lucubrate whippersnapper taradiddle,To Do,No work records found.,,,,2023-10-11T14:40:18.348971
TEST-156,ventriloquize,To Do,No work records found.,,,,2023-10-11T14:40:18.599195
TEST-157,pandiculation absquatulate,To Do,No comment provided.,Verdict Zero,4h,2023-09-23T08:28:56.095-0400,2023-10-11T14:40:18.911620
TEST-158,farrago,To Do,No comment provided.,Verdict Zero,2h,2023-09-23T08:28:56.447-0400,2023-10-11T14:40:19.083268
TEST-159,gorgonize,To Do,No comment provided.,Verdict Zero,3h,2023-09-14T08:28:55.786-0400,2023-10-11T14:40:19.239664
TEST-160,blatherskite claptrap quockerwodger quockerwodger ultracrepidarian,To Do,No work records found.,,,,2023-10-11T14:40:19.520831
TEST-161,absquatulate,To Do,No work records found.,,,,2023-10-11T14:40:19.708306
TEST-162,zymurgy pogonotrophy throttlebottom zymurgy doodle-sack yaffle,To Do,No work records found.,,,,2023-10-11T14:40:19.942479
TEST-163,absquatulate eucatastrophe,To Do,No work records found.,,,,2023-10-11T14:40:20.145711
TEST-164,slubberdegullion flibbertigibbet cachinnate kakorrhaphiophobia claptrap,To Do,No work records found.,,,,2023-10-11T14:40:20.551826
TEST-165,mumpsimus pogonotrophy omphaloskepsis pogonotrophy ultracrepidarian fustilugs,To Do,No comment provided.,Verdict Zero,1h,2023-09-17T08:28:56.816-0400,2023-10-11T14:40:20.754921
TEST-166,uxorious blatherskite,To Do,No comment provided.,Verdict Zero,5h,2023-09-18T08:28:57.074-0400,2023-10-11T14:40:20.959621
TEST-167,pogonotrophy,To Do,No comment provided.,Verdict Zero,1h,2023-09-28T09:09:55.566-0400,2023-10-11T14:40:21.270761
TEST-168,lucubrate brouhaha fustilugs mugwump taradiddle defenestration,To Do,No work records found.,,,,2023-10-11T14:40:21.567956
TEST-169,mugwump farrago quockerwodger mugwump blatherskite,To Do,No work records found.,,,,2023-10-11T14:40:21.880415
TEST-170,ventriloquize throttlebottom gallimaufry,To Do,No comment provided.,Verdict Zero,3h,2023-09-25T09:09:54.318-0400,2023-10-11T14:40:22.192838
TEST-171,lucubrate yex pandiculation,To Do,No comment provided.,Verdict Zero,2h,2023-09-15T09:09:55.289-0400,2023-10-11T14:40:22.395921
TEST-172,clews nudiustertian,To Do,No work records found.,,,,2023-10-11T14:40:22.694030
TEST-173,hobbledehoy yaffle,To Do,No comment provided.,Verdict Zero,4h,2023-09-28T09:09:54.972-0400,2023-10-11T14:40:23.006463
TEST-174,rumbustious,To Do,No comment provided.,Verdict Zero,3h,2023-09-23T09:09:54.602-0400,2023-10-11T14:40:23.318856
TEST-175,defenestration obambulate mumpsimus mugwump,To Do,No work records found.,,,,2023-10-11T14:40:23.568798
TEST-176,fustilugs kakorrhaphiophobia defenestration snickersnee defenestration,To Do,No work records found.,,,,2023-10-11T14:40:23.787515
TEST-177,slubberdegullion flibbertigibbet ventriloquize brouhaha yaffle ventriloquize,To Do,No comment provided.,Verdict Zero,5h,2023-09-28T11:19:12.400-0400,2023-10-11T14:40:24.131194
TEST-178,brouhaha limerence,To Do,No work records found.,,,,2023-10-11T14:40:24.443844
TEST-179,gobbledygook jentacular flibbertigibbet throttlebottom obambulate omphaloskepsis,To Do,No work records found.,,,,2023-10-11T14:40:24.709430
TEST-180,lollygag lucubrate jentacular mumpsimus pogonotrophy snickersnee,To Do,No comment provided.,Verdict Zero,3h,2023-09-23T11:19:11.632-0400,2023-10-11T14:40:24.896853
TEST-181,limerence nudiustertian slubberdegullion,To Do,No work records found.,,,,2023-10-11T14:40:25.099994
TEST-182,bathykolpian,To Do,No comment provided.,Verdict Zero,6h,2023-09-27T11:19:12.088-0400,2023-10-11T14:40:25.288318
TEST-183,slubberdegullion mugwump defenestration,To Do,No comment provided.,Verdict Zero,1h,2023-09-18T11:19:12.677-0400,2023-10-11T14:40:25.569485
TEST-184,bathykolpian xenodocheionology jentacular,To Do,No comment provided.,Verdict Zero,4h,2023-09-16T11:19:13.000-0400,2023-10-11T14:40:25.788208
TEST-185,gobbledygook hobbledehoy mumpsimus slubberdegullion whippersnapper,To Do,No work records found.,,,,2023-10-11T14:40:25.945586
TEST-186,zoanthropy mugwump quockerwodger,To Do,No work records found.,,,,2023-10-11T14:40:26.289998
TEST-187,taradiddle uxorious,To Do,No comment provided.,Verdict Zero,6h,2023-09-27T11:20:38.504-0400,2023-10-11T14:40:26.588156
TEST-188,taradiddle floccinaucinihilipilification rumbustious limerence,To Do,No work records found.,,,,2023-10-11T14:40:26.791233
TEST-189,lollygag ventriloquize susurrus snickersnee floccinaucinihilipilification,To Do,No comment provided.,Verdict Zero,5h,2023-09-21T11:20:38.793-0400,2023-10-11T14:40:27.150701
TEST-190,omphaloskepsis farrago absquatulate,To Do,No comment provided.,Verdict Zero,1h,2023-09-27T11:20:39.537-0400,2023-10-11T14:40:27.416099
TEST-191,quockerwodger,To Do,No work records found.,,,,2023-10-11T14:40:27.603713
TEST-192,lucubrate ultracrepidarian nudiustertian yex,To Do,No work records found.,,,,2023-10-11T14:40:27.837875
TEST-193,ventriloquize xenodocheionology yex lollygag,To Do,No comment provided.,Verdict Zero,3h,2023-09-13T11:20:39.182-0400,2023-10-11T14:40:28.134675
TEST-194,lollygag,To Do,No comment provided.,Verdict Zero,1d,2023-09-16T11:20:38.203-0400,2023-10-11T14:40:28.433207
TEST-195,clews xenodocheionology,To Do,No work records found.,,,,2023-10-11T14:40:28.636281
TEST-196,susurrus cachinnate,To Do,No comment provided.,Test McUserface,1d,2023-10-04T14:29:00.000-0400,2023-10-11T14:40:28.839565
