Issue Key,Summary,Status,Worklog Comment,Author,Time Spent,Time Spent Converted,Worklog Created,Data Extracted Time
TEST-110,xenodocheionology absquatulate yex,To Do,No work records found.,,,0,,2024-01-03T10:48:36.294380
TEST-111,ventriloquize absquatulate brouhaha quixotic eucatastrophe clews,To Do,No work records found.,,,0,,2024-01-03T10:48:36.497608
TEST-112,floccinaucinihilipilification obambulate pogonotrophy doodle-sack farrago fustilugs,To Do,No work records found.,,,0,,2024-01-03T10:48:36.708679
TEST-113,widdershins eucatastrophe zymurgy zoanthropy,To Do,No work records found.,,,0,,2024-01-03T10:48:37.014160
TEST-114,whippersnapper zymurgy omphaloskepsis limerence lucubrate,To Do,No comment provided.,Verdict Zero,5h,18000,2023-09-16T08:26:54.491-0400,2024-01-03T10:48:37.310983
TEST-115,jentacular ventriloquize taradiddle jentacular mumpsimus mugwump,To Do,No comment provided.,Verdict Zero,3h,10800,2023-09-26T08:26:55.889-0400,2024-01-03T10:48:37.514199
TEST-116,clews widdershins jentacular,To Do,No work records found.,,,0,,2024-01-03T10:48:37.654634
TEST-117,snickersnee snickersnee rumbustious mumpsimus brouhaha rumbustious,To Do,No work records found.,,,0,,2024-01-03T10:48:37.826611
TEST-118,yaffle xenodocheionology,To Do,No work records found.,,,0,,2024-01-03T10:48:38.138802
TEST-119,lollygag doodle-sack bathykolpian,To Do,No work records found.,,,0,,2024-01-03T10:48:38.341884
TEST-120,cachinnate cachinnate,To Do,No comment provided.,Verdict Zero,1d,86400,2023-09-18T08:27:13.926-0400,2024-01-03T10:48:38.639203
