Issue Key,Summary,Status,Worklog Comment,Author,Time Spent,Time Spent Converted,Worklog Created,Data Extracted Time
TEST-110,xenodocheionology absquatulate yex,To Do,No work records found.,,,0,,2024-01-03T10:51:06.748609
TEST-111,ventriloquize absquatulate brouhaha quixotic eucatastrophe clews,To Do,No work records found.,,,0,,2024-01-03T10:51:07.123533
TEST-112,floccinaucinihilipilification obambulate pogonotrophy doodle-sack farrago fustilugs,To Do,No work records found.,,,0,,2024-01-03T10:51:07.436006
TEST-113,widdershins eucatastrophe zymurgy zoanthropy,To Do,No work records found.,,,0,,2024-01-03T10:51:07.576852
TEST-114,whippersnapper zymurgy omphaloskepsis limerence lucubrate,To Do,No comment provided.,Verdict Zero,5h,18000,2023-09-16T08:26:54.491-0400,2024-01-03T10:51:07.842146
TEST-115,jentacular ventriloquize taradiddle jentacular mumpsimus mugwump,To Do,No comment provided.,Verdict Zero,3h,10800,2023-09-26T08:26:55.889-0400,2024-01-03T10:51:08.045178
TEST-116,clews widdershins jentacular,To Do,No work records found.,,,0,,2024-01-03T10:51:08.357601
TEST-117,snickersnee snickersnee rumbustious mumpsimus brouhaha rumbustious,To Do,No work records found.,,,0,,2024-01-03T10:51:08.561206
TEST-118,yaffle xenodocheionology,To Do,No work records found.,,,0,,2024-01-03T10:51:08.873522
TEST-119,lollygag doodle-sack bathykolpian,To Do,No work records found.,,,0,,2024-01-03T10:51:09.029928
TEST-120,cachinnate cachinnate,To Do,No comment provided.,Verdict Zero,1d,86400,2023-09-18T08:27:13.926-0400,2024-01-03T10:51:09.279917
