Issue Key,Summary,Status,Worklog Comment,Author,Time Spent,Worklog Created,Data Extracted Time
TEST-1,order corn,In Progress,No comment provided.,Verdict Zero,2w 1d,2023-09-26T14:30:00.000-0400,2023-09-27T15:13:03.665633
TEST-1,order corn,In Progress,assembled Ikea furniture,Verdict Zero,5w 1d 3h,2023-09-26T14:30:00.000-0400,2023-09-27T15:13:03.665633
TEST-1,order corn,In Progress,pants,Verdict Zero,2w 1d,2023-09-26T14:30:00.000-0400,2023-09-27T15:13:03.665633
TEST-2,Katie is scary,To Do,Katie is still scary,Verdict Zero,1w,2023-09-24T22:11:59.503-0400,2023-09-27T15:13:03.852621
TEST-2,Katie is scary,To Do,No comment provided.,Verdict Zero,1w 3d,2023-09-24T21:49:21.665-0400,2023-09-27T15:13:03.852621
TEST-2,Katie is scary,To Do,🪸,Verdict Zero,1w 1d 6h,2023-09-25T07:49:32.923-0400,2023-09-27T15:13:03.852621
TEST-2,Katie is scary,To Do,yogurt exists,Verdict Zero,199w 4d,2022-10-29T13:49:51.313-0400,2023-09-27T15:13:03.852621
TEST-2,Katie is scary,To Do,CHICKEN FRANCHISE,Verdict Zero,1d 6h 53m,2023-09-26T22:57:29.899-0400,2023-09-27T15:13:03.852621
TEST-3,wear pants,To Do,potato salad,Verdict Zero,57w 3d,2023-09-26T15:03:00.000-0400,2023-09-27T15:13:04.164989
TEST-4,recalibrate inertial dampers,Done,No work records found.,,,,2023-09-27T15:13:04.399625
TEST-5,Build retaining wall,To Do,failed to build retaining wall,Verdict Zero,52w 1d,2023-09-26T15:19:00.000-0400,2023-09-27T15:13:04.681074
TEST-6,another test ticket,To Do,No work records found.,,,,2023-09-27T15:13:04.852953
TEST-7,feature demo test data sample data,To Do,No work records found.,,,,2023-09-27T15:13:05.196771
TEST-8,data,To Do,No work records found.,,,,2023-09-27T15:13:05.368500
TEST-9,issue,To Do,No work records found.,,,,2023-09-27T15:13:05.556324
TEST-10,data,To Do,No work records found.,,,,2023-09-27T15:13:05.734384
TEST-11,task example example,To Do,No work records found.,,,,2023-09-27T15:13:05.919256
TEST-12,bug feature,To Do,No work records found.,,,,2023-09-27T15:13:06.220497
TEST-13,issue data example issue feature demo,To Do,No work records found.,,,,2023-09-27T15:13:06.407984
TEST-14,test bug bug,To Do,No work records found.,,,,2023-09-27T15:13:06.580764
TEST-15,demo demo task example,To Do,No work records found.,,,,2023-09-27T15:13:06.831720
TEST-16,task random feature,To Do,No work records found.,,,,2023-09-27T15:13:07.034793
TEST-17,example,To Do,No work records found.,,,,2023-09-27T15:13:07.254904
TEST-18,random sample bug issue example,To Do,No work records found.,,,,2023-09-27T15:13:07.551505
TEST-19,feature issue example test task data,To Do,No work records found.,,,,2023-09-27T15:13:07.763203
TEST-20,test example bug data test,To Do,No work records found.,,,,2023-09-27T15:13:08.060017
